"card_slug","card_name","issuer","rank","picking_rate_percent","monthly_saving","previous_spend","monthly_cap","rule_count","tier_count","has_external_benchmark","risk_score","priority","risk_signals","source_url","search_queries"
"naver-card-1322","롯데 국민행복카드","롯데","1","36.129","252900","300000","300000","10","1","false","78","P0","single_tier_high_cap | monthly_cap_outlier | high_picking_without_external_benchmark | not_officially_verified","http://m.lottecard.co.kr/spa/card/booth?bId=102804&vtCdKndC=P10989-A10989&utm_source=sa_naver_cs&utm_medium=cpc&utm_campaign=m_card&utm_content=happycard&utm_term=%EC%8B%A0%EC%9A%A9%EC%B9%B4%EB%93%9C","롯데 국민행복카드 피킹률 | 롯데 국민행복카드 실제 혜택 | 롯데 롯데 국민행복카드 카드 추천"
"naver-card-10614","현대카드 하이브리드(Apple Pay Rewards)","현대","2","31.369","219583","300000","300000","4","1","false","78","P0","single_tier_high_cap | monthly_cap_outlier | high_picking_without_external_benchmark | not_officially_verified","https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=CCAH&eventCode=ANB03","현대카드 하이브리드(Apple Pay Rewards) 피킹률 | 현대카드 하이브리드(Apple Pay Rewards) 실제 혜택 | 현대 현대카드 하이브리드(Apple Pay Rewards) 카드 추천"
"naver-card-2345","IBK 국민행복카드","IBK기업은행","4","22.786","159500","300000","300000","9","1","false","78","P0","single_tier_high_cap | monthly_cap_outlier | high_picking_without_external_benchmark | not_officially_verified","https://www.ibk.co.kr/cardbiz/detailBizNew.ibk?pageId=CA01020000&PDLN_CD=12&PDGR_CD=11&PDTM_CD=293&PDCD=0001&ad_cd=nvmo&mz_cd=ADGROUN","IBK 국민행복카드 피킹률 | IBK 국민행복카드 실제 혜택 | IBK기업은행 IBK 국민행복카드 카드 추천"
"naver-card-1571","신한카드 RPM+ Platinum#","신한","8","13.612","95283","500000","300000","8","1","false","78","P0","single_tier_high_cap | monthly_cap_outlier | high_picking_without_external_benchmark | not_officially_verified","https://www.shinhancard.com/pconts/html/card/apply/credit/1187945_2207.html?EntryLoc2=2795&empSeq=957&btnApp=dp01&utm_source=naver_credit&utm_medium=cpc&utm_campaign=online_mobile_rpm","신한카드 RPM+ Platinum# 피킹률 | 신한카드 RPM+ Platinum# 실제 혜택 | 신한 신한카드 RPM+ Platinum# 카드 추천"
"naver-card-10373","JADE First Centum","하나","9","13.155","92083","500000","200000","5","1","false","78","P0","single_tier_high_cap | monthly_cap_outlier | high_picking_without_external_benchmark | not_officially_verified","https://m.hanacard.co.kr/JADEINTROM.web?CD_PD_SEQ=17874","JADE First Centum 피킹률 | JADE First Centum 실제 혜택 | 하나 JADE First Centum 카드 추천"
"naver-card-10421","이마트II KB국민카드(옐로우)","KB국민","15","9.821","68750","500000","70000","7","1","false","78","P0","estimated_rule | single_tier_high_cap | high_picking_without_external_benchmark | not_officially_verified","https://m.kbcard.com/CRD/DVIEW/MCAMCXHIACRC0002?allianceCode=04361&mainCC=b","이마트II KB국민카드(옐로우) 피킹률 | 이마트II KB국민카드(옐로우) 실제 혜택 | KB국민 이마트II KB국민카드(옐로우) 카드 추천"
"naver-card-277","신세계이마트 삼성카드 7","삼성","18","8.357","58500","300000","60000","10","1","false","78","P0","estimated_rule | single_tier_high_cap | high_picking_without_external_benchmark | not_officially_verified","https://www.samsungcard.com/personal/card/simple-apply/UHPPCA0225M0.jsp?code=AAP1279&alncmpC=QACDMB19&affcode=QACDMB19&BSCPN=BCTS&BSPRG=MNAVERCARD&BSCCN1=MB_%EC%8B%A0%EA%B2%80_AAP1279_%EC%8B%A0%EC%84%B8%EA%B3%84%EC%9D%B4%EB%A7%88%ED%8A%B8%20%EC%82%BC%EC%84%B1%EC%B9%B4%EB%93%9C%207&utm_campaign=%EC%8B%A0%EC%84%B8%EA%B3%84%EC%9D%B4%EB%A7%88%ED%8A%B8%20%EC%82%BC%EC%84%B1%EC%B9%B4%EB%93%9C%207&utm_medium=CSA&utm_source=%EB%84%A4%EC%9D%B4%EB%B2%84%20%EC%8B%A0%EC%9A%A9%EC%B9%B4%EB%93%9C%20%EA%B2%80%EC%83%89%20%EB%AA%A8%EB%B0%94%EC%9D%BC&utm_term={query}","신세계이마트 삼성카드 7 피킹률 | 신세계이마트 삼성카드 7 실제 혜택 | 삼성 신세계이마트 삼성카드 7 카드 추천"
"naver-card-10617","현대카드 MC GLOBAL","현대","19","8.336","58353","0","300000","5","1","false","78","P0","single_tier_high_cap | monthly_cap_outlier | high_picking_without_external_benchmark | not_officially_verified","https://mycompany.hyundaicard.com/cr/in/CRIN1015.do?eventCode=GLO12&pageType=newJoin","현대카드 MC GLOBAL 피킹률 | 현대카드 MC GLOBAL 실제 혜택 | 현대 현대카드 MC GLOBAL 카드 추천"
"naver-card-10345","카드의정석 SHOPPING+","우리","23","7.024","49167","300000","50000","8","1","false","78","P0","estimated_rule | single_tier_high_cap | high_picking_without_external_benchmark | not_officially_verified","https://m.wooricard.com/dcmw/yh1/crd/crd01/M1CRD101S02.do?cdPrdCd=102492&canvasser=88801075&utm_source=naver_cs&utm_medium=cpc&utm_campaign=M_%EC%B9%B4%EB%93%9C%EC%84%B9%EC%85%98&utm_content={keyword}&utm_term=%EC%B9%B4%EB%93%9C%EC%9D%98%EC%A0%95%EC%84%9DSHOPPING+","카드의정석 SHOPPING+ 피킹률 | 카드의정석 SHOPPING+ 실제 혜택 | 우리 카드의정석 SHOPPING+ 카드 추천"
"naver-card-10597","트래블로그+(플러스) 신용카드","하나","24","6.905","48333","0","50000","5","1","false","78","P0","estimated_rule | single_tier_high_cap | high_picking_without_external_benchmark | not_officially_verified","https://m.hanacard.co.kr/MKCDCM1010M.web?CD_PD_SEQ=18973","트래블로그+(플러스) 신용카드 피킹률 | 트래블로그+(플러스) 신용카드 실제 혜택 | 하나 트래블로그+(플러스) 신용카드 카드 추천"
"naver-card-10211","NH올원 Rental&바디프랜드카드","NH농협","25","6.143","43000","300000","300000","2","1","false","78","P0","single_tier_high_cap | monthly_cap_outlier | high_picking_without_external_benchmark | not_officially_verified","https://card.nonghyup.com/index_cardProd.html?SERVICE_ID=IPCC2021R&NAVIGATE_TYPE=1&cd_wrs_sqno=90000365&FromSite=53","NH올원 Rental&바디프랜드카드 피킹률 | NH올원 Rental&바디프랜드카드 실제 혜택 | NH농협 NH올원 Rental&바디프랜드카드 카드 추천"
"naver-card-10576","현대카드 MC 항공권전용카드","현대","26","6.000","42000","0","200000","2","1","false","78","P0","single_tier_high_cap | monthly_cap_outlier | high_picking_without_external_benchmark | not_officially_verified","https://mycompany.hyundaicard.com/cr/in/CRIN1006.do?_method=X01&pageType=newJoin","현대카드 MC 항공권전용카드 피킹률 | 현대카드 MC 항공권전용카드 실제 혜택 | 현대 현대카드 MC 항공권전용카드 카드 추천"
"naver-card-10358","zgm 할인카드","NH농협","29","5.393","37750","400000","40000","9","1","false","78","P0","estimated_rule | single_tier_high_cap | high_picking_without_external_benchmark | not_officially_verified","https://card.nonghyup.com/index_cardProd.html?SERVICE_ID=IPCC2021R&NAVIGATE_TYPE=1&cd_wrs_sqno=90010515&FromSite=53","zgm 할인카드 피킹률 | zgm 할인카드 실제 혜택 | NH농협 zgm 할인카드 카드 추천"
"naver-card-10538","우리카드 the OPUS silver","우리","30","5.357","37500","500000","50000","8","1","false","78","P0","estimated_rule | single_tier_high_cap | high_picking_without_external_benchmark | not_officially_verified","https://m.wooricard.com/dcmw/yh1/crd/crd01/M1CRD101S02.do?cdPrdCd=103500&canvasser=88801075&utm_source=naver_cs&utm_medium=cpc&utm_campaign=M_%ec%b9%b4%eb%93%9c%ec%84%b9%ec%85%98&utm_content={keyword}&utm_term=%EC%9A%B0%EB%A6%AC%EC%B9%B4%EB%93%9CtheOPUSsilver","우리카드 the OPUS silver 피킹률 | 우리카드 the OPUS silver 실제 혜택 | 우리 우리카드 the OPUS silver 카드 추천"
"naver-card-10462","삼성 iD STATION 카드 (SK에너지)","삼성","34","4.821","33750","400000","35000","5","1","false","78","P0","estimated_rule | single_tier_high_cap | high_picking_without_external_benchmark | not_officially_verified","https://www.samsungcard.com/personal/card/simple-apply/UHPPCA0225M0.jsp?code=AAP1855&alncmpC=QACDMB42&affcode=QACDMB42&BSCPN=BCTS&BSPRG=MNAVERCARD&BSCCN1=MB_%EC%8B%A0%EA%B2%80_AAP1855_%EC%82%BC%EC%84%B1%20iD%20STATION%20%EC%B9%B4%EB%93%9C%20%28SK%EC%97%90%EB%84%88%EC%A7%80%29&utm_campaign=%EC%82%BC%EC%84%B1%20iD%20STATION%20%EC%B9%B4%EB%93%9C%20%28SK%EC%97%90%EB%84%88%EC%A7%80%29&utm_medium=CSA&utm_source=%EB%84%A4%EC%9D%B4%EB%B2%84%20%EC%8B%A0%EC%9A%A9%EC%B9%B4%EB%93%9C%20%EA%B2%80%EC%83%89%20%EB%AA%A8%EB%B0%94%EC%9D%BC&utm_term={query}","삼성 iD STATION 카드 (SK에너지) 피킹률 | 삼성 iD STATION 카드 (SK에너지) 실제 혜택 | 삼성 삼성 iD STATION 카드 (SK에너지) 카드 추천"
"naver-card-10596","삼성 iD STATION 카드 (HD현대오일뱅크)","삼성","35","4.821","33750","400000","35000","5","1","false","78","P0","estimated_rule | single_tier_high_cap | high_picking_without_external_benchmark | not_officially_verified","https://www.samsungcard.com/personal/card/simple-apply/UHPPCA0225M0.jsp?code=AAP1897&alncmpC=QACDMB44&affcode=QACDMB44&BSCPN=BCTS&BSPRG=MNAVERCARD&BSCCN1=MB_%EC%8B%A0%EA%B2%80_AAP1897_%EC%82%BC%EC%84%B1%20iD%20STATION%20%EC%B9%B4%EB%93%9C%20%28HD%ED%98%84%EB%8C%80%EC%98%A4%EC%9D%BC%EB%B1%85%ED%81%AC%29&utm_campaign=%EC%82%BC%EC%84%B1%20iD%20STATION%20%EC%B9%B4%EB%93%9C%20%28HD%ED%98%84%EB%8C%80%EC%98%A4%EC%9D%BC%EB%B1%85%ED%81%AC%29&utm_medium=CSA&utm_source=%EB%84%A4%EC%9D%B4%EB%B2%84%20%EC%8B%A0%EC%9A%A9%EC%B9%B4%EB%93%9C%20%EA%B2%80%EC%83%89%20%EB%AA%A8%EB%B0%94%EC%9D%BC&utm_term={query}","삼성 iD STATION 카드 (HD현대오일뱅크) 피킹률 | 삼성 iD STATION 카드 (HD현대오일뱅크) 실제 혜택 | 삼성 삼성 iD STATION 카드 (HD현대오일뱅크) 카드 추천"
"naver-card-10414","the Red(항공 마일리지형)","현대","39","4.286","30000","500000","300000","1","1","false","78","P0","single_tier_high_cap | monthly_cap_outlier | high_picking_without_external_benchmark | not_officially_verified","https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=TRE6&eventCode=DMVAQ","the Red(항공 마일리지형) 피킹률 | the Red(항공 마일리지형) 실제 혜택 | 현대 the Red(항공 마일리지형) 카드 추천"
"naver-card-10637","KT 으랏차차 신한카드","신한","40","4.286","30000","500000","33000","1","1","false","78","P0","estimated_rule | single_tier_high_cap | high_picking_without_external_benchmark | not_officially_verified","https://www.shinhancard.com/pconts/html/card/apply/credit/1235115_2207.html?empSeq=502","KT 으랏차차 신한카드 피킹률 | KT 으랏차차 신한카드 실제 혜택 | 신한 KT 으랏차차 신한카드 카드 추천"
"naver-card-10317","어디로든 그린카드 X LOCA","롯데","42","4.107","28750","300000","30000","7","1","false","78","P0","estimated_rule | single_tier_high_cap | high_picking_without_external_benchmark | not_officially_verified","http://m.lottecard.co.kr/spa/card/booth?bId=92793&vtCdKndC=P14744-A14744&npayUseYn=Y","어디로든 그린카드 X LOCA 피킹률 | 어디로든 그린카드 X LOCA 실제 혜택 | 롯데 어디로든 그린카드 X LOCA 카드 추천"
"naver-card-10369","The CJ-현대카드M Edition2","현대","43","4.107","28750","0","30000","5","1","false","78","P0","estimated_rule | single_tier_high_cap | high_picking_without_external_benchmark | not_officially_verified","https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardflag=RC&cardWcd=MCJE2","The CJ-현대카드M Edition2 피킹률 | The CJ-현대카드M Edition2 실제 혜택 | 현대 The CJ-현대카드M Edition2 카드 추천"
"naver-card-10609","이마트 신한카드","신한","44","4.050","28350","400000","30000","9","1","false","78","P0","estimated_rule | single_tier_high_cap | high_picking_without_external_benchmark | not_officially_verified","https://www.shinhancard.com/pconts/html/card/apply/credit/1236769_2207.html?EntryLoc2=4485&empSeq=502&utm_source=naver_credit&utm_medium=cpc&utm_campaign=online_mobile_emartcard","이마트 신한카드 피킹률 | 이마트 신한카드 실제 혜택 | 신한 이마트 신한카드 카드 추천"
"naver-card-1400","NH농협 국민행복카드(비씨)","NH농협","45","4.036","28250","300000","300000","5","1","false","78","P0","single_tier_high_cap | monthly_cap_outlier | high_picking_without_external_benchmark | not_officially_verified","https://card.nonghyup.com/index_cardProd.html?SERVICE_ID=IPCC2021R&NAVIGATE_TYPE=1&cd_wrs_sqno=90000319&FromSite=53","NH농협 국민행복카드(비씨) 피킹률 | NH농협 국민행복카드(비씨) 실제 혜택 | NH농협 NH농협 국민행복카드(비씨) 카드 추천"
"naver-card-10438","현대백화점 현대오일뱅크카드","현대백화점카드","264","0.008","55","1","5000","1","1","false","58","P0","fallback_rule | not_officially_verified","http://m.ehyundai.com/mobile/card/VO/main.do?menu=0&r=&event_id=&use_r=","현대백화점 현대오일뱅크카드 피킹률 | 현대백화점 현대오일뱅크카드 실제 혜택 | 현대백화점카드 현대백화점 현대오일뱅크카드 카드 추천"
"naver-card-3717","KB국민 Easy all 티타늄카드","KB국민","269","0.000","0","500000","4000","1","1","false","58","P0","fallback_rule | not_officially_verified","https://m.kbcard.com/CRD/DVIEW/MCAMCXHIACRC0002?allianceCode=09256&mainCC=b","KB국민 Easy all 티타늄카드 피킹률 | KB국민 Easy all 티타늄카드 실제 혜택 | KB국민 KB국민 Easy all 티타늄카드 카드 추천"
"naver-card-10176","LOCA 나누기 카드","롯데","275","0.000","0","0","1000","1","1","false","58","P0","fallback_rule | not_officially_verified","https://m.lottecard.co.kr/spa/card/booth?bId=78676&vtCdKndC=P14123-A14123&npayUseYn=Y&utm_source=sa_naver_cs&utm_medium=cpc&utm_campaign=m_card_application&utm_content=locadivide&utm_term=%EC%8B%A0%EC%9A%A9%EC%B9%B4%EB%93%9C","LOCA 나누기 카드 피킹률 | LOCA 나누기 카드 실제 혜택 | 롯데 LOCA 나누기 카드 카드 추천"
"naver-card-10315","ALL 우리카드 Infinite","우리","283","0.000","0","500000","5000","1","1","false","58","P0","fallback_rule | not_officially_verified","https://m.wooricard.com/dcmw/yh1/crd/crd01/M1CRD101S02.do?cdPrdCd=103187&canvasser=88801075&utm_source=naver_cs&utm_medium=cpc&utm_campaign=M_%ec%b9%b4%eb%93%9c%ec%84%b9%ec%85%98&utm_content={keyword}&utm_term=ALL%EC%9A%B0%EB%A6%AC%EC%B9%B4%EB%93%9CInfinite","ALL 우리카드 Infinite 피킹률 | ALL 우리카드 Infinite 실제 혜택 | 우리 ALL 우리카드 Infinite 카드 추천"
"naver-card-10316","ALL 우리카드 Premium","우리","285","0.000","0","500000","5000","1","1","false","58","P0","fallback_rule | not_officially_verified","https://m.wooricard.com/dcmw/yh1/crd/crd01/M1CRD101S02.do?cdPrdCd=103188&canvasser=88801075&utm_source=naver_cs&utm_medium=cpc&utm_campaign=M_%ec%b9%b4%eb%93%9c%ec%84%b9%ec%85%98&utm_content={keyword}&utm_term=ALL%EC%9A%B0%EB%A6%AC%EC%B9%B4%EB%93%9CPremium","ALL 우리카드 Premium 피킹률 | ALL 우리카드 Premium 실제 혜택 | 우리 ALL 우리카드 Premium 카드 추천"
