"card_slug","card_name","issuer","rank","picking_rate_percent","monthly_saving","previous_spend","monthly_cap","rule_count","tier_count","has_external_benchmark","risk_score","priority","risk_signals","source_url","search_queries"
"naver-card-10339","현대카드Z play","현대","199","0.476","3333","500000","20000","2","1","false","28","P2","estimated_rule | not_officially_verified","https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=ZOE2&eventCode=DMV37","현대카드Z play 피킹률 | 현대카드Z play 실제 혜택 | 현대 현대카드Z play 카드 추천"
"naver-card-10557","해피메이트 ibk카드(신용)","IBK기업은행","200","0.476","3333","400000","5000","1","1","false","8","P3","not_officially_verified","https://www.ibk.co.kr/cardbiz/detailBizNew.ibk?&pageId=&PDLN_CD=12&PDGR_CD=11&PDTM_CD=356&PDCD=0001&ad_cd=nvmo&mz_cd=ADGROUN","해피메이트 ibk카드(신용) 피킹률 | 해피메이트 ibk카드(신용) 실제 혜택 | IBK기업은행 해피메이트 ibk카드(신용) 카드 추천"
"naver-card-2332","KB국민 톡톡Pay카드","KB국민","201","0.476","3333","400000","5000","5","1","false","28","P2","estimated_rule | not_officially_verified","https://m.kbcard.com/CRD/DVIEW/MCAMCXHIACRC0002?allianceCode=09231&mainCC=b","KB국민 톡톡Pay카드 피킹률 | KB국민 톡톡Pay카드 실제 혜택 | KB국민 KB국민 톡톡Pay카드 카드 추천"
"naver-card-2857","KB국민 Easy Pick카드","KB국민","202","0.476","3333","500000","5000","2","1","false","28","P2","estimated_rule | not_officially_verified","https://m.kbcard.com/CRD/DVIEW/MCAMCXHIACRC0002?allianceCode=09243&mainCC=b","KB국민 Easy Pick카드 피킹률 | KB국민 Easy Pick카드 실제 혜택 | KB국민 KB국민 Easy Pick카드 카드 추천"
"naver-card-10510","KB전통시장온누리카드","KB국민","203","0.476","3333","400000","5000","2","1","false","28","P2","estimated_rule | not_officially_verified","https://m.kbcard.com/CRD/DVIEW/MCAMCXHIACRC0002?allianceCode=09348&mainCC=b&solicitorcode=7030023030&jehuId=NPAY","KB전통시장온누리카드 피킹률 | KB전통시장온누리카드 실제 혜택 | KB국민 KB전통시장온누리카드 카드 추천"
"naver-card-10410","신한카드 The PET","신한","204","0.476","3333","400000","5000","4","1","false","28","P2","estimated_rule | not_officially_verified","https://www.shinhancard.com/pconts/html/card/apply/credit/1228839_2207.html?EntryLoc2=3477&empSeq=617&btnApp=L0S1H3&utm_source=naver_credit&utm_medium=cpc&utm_campaign=online_mobile_thepet","신한카드 The PET 피킹률 | 신한카드 The PET 실제 혜택 | 신한 신한카드 The PET 카드 추천"
"naver-card-10583","현대홈쇼핑 현대카드 Edition2","현대","205","0.476","3333","400000","5000","2","1","false","28","P2","estimated_rule | not_officially_verified","https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=HDSHE2&eventCode=HHS10","현대홈쇼핑 현대카드 Edition2 피킹률 | 현대홈쇼핑 현대카드 Edition2 실제 혜택 | 현대 현대홈쇼핑 현대카드 Edition2 카드 추천"
"naver-card-10385","SKT-현대카드M Edition3(통신할인형2.0)","현대","206","0.476","3333","500000","25000","2","1","false","28","P2","estimated_rule | not_officially_verified","https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=MSKTE3TP&eventCode=NCL13","SKT-현대카드M Edition3(통신할인형2.0) 피킹률 | SKT-현대카드M Edition3(통신할인형2.0) 실제 혜택 | 현대 SKT-현대카드M Edition3(통신할인형2.0) 카드 추천"
"naver-card-10384","LG U+-현대카드M Edition3(통신할인형2.0)","현대","207","0.476","3333","500000","25000","2","1","false","28","P2","estimated_rule | not_officially_verified","https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardflag=RC&cardWcd=MLGTE3","LG U+-현대카드M Edition3(통신할인형2.0) 피킹률 | LG U+-현대카드M Edition3(통신할인형2.0) 실제 혜택 | 현대 LG U+-현대카드M Edition3(통신할인형2.0) 카드 추천"
"naver-card-10383","kt-현대카드M Edition3(통신할인형2.0)","현대","208","0.476","3333","500000","25000","2","1","false","28","P2","estimated_rule | not_officially_verified","https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardflag=RC&cardWcd=MKTE3TP","kt-현대카드M Edition3(통신할인형2.0) 피킹률 | kt-현대카드M Edition3(통신할인형2.0) 실제 혜택 | 현대 kt-현대카드M Edition3(통신할인형2.0) 카드 추천"
"naver-card-10420","KB국민 EV카드","KB국민","209","0.476","3333","400000","5000","4","1","false","28","P2","estimated_rule | not_officially_verified","https://m.kbcard.com/CRD/DVIEW/MCAMCXHIACRC0002?allianceCode=00230&mainCC=b","KB국민 EV카드 피킹률 | KB국민 EV카드 실제 혜택 | KB국민 KB국민 EV카드 카드 추천"
"naver-card-10325","코스트코 리워드 현대카드 Edition2","현대","210","0.476","3333","500000","5000","7","1","false","8","P3","not_officially_verified","https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=CSTCE2&eventCode=CCC58&rcPath=L300500000000","코스트코 리워드 현대카드 Edition2 피킹률 | 코스트코 리워드 현대카드 Edition2 실제 혜택 | 현대 코스트코 리워드 현대카드 Edition2 카드 추천"
"naver-card-10577","한화이글스 신한카드","신한","211","0.476","3333","300000","5000","10","1","false","8","P3","not_officially_verified","https://www.shinhancard.com/pconts/html/card/apply/credit/1235111_2207.html?empSeq=502","한화이글스 신한카드 피킹률 | 한화이글스 신한카드 실제 혜택 | 신한 한화이글스 신한카드 카드 추천"
"naver-card-10638","LG헬로비전 신한카드","신한","212","0.452","3167","400000","15000","1","1","false","28","P2","estimated_rule | not_officially_verified","https://www.shinhancard.com/pconts/html/card/apply/credit/1203566_2207.html?empSeq=503","LG헬로비전 신한카드 피킹률 | LG헬로비전 신한카드 실제 혜택 | 신한 LG헬로비전 신한카드 카드 추천"
"naver-card-10447","KB국민 기후동행카드","KB국민","213","0.452","3167","400000","10000","1","1","false","28","P2","estimated_rule | not_officially_verified","https://m.kbcard.com/CRD/DVIEW/MCAMCXHIACRC0002?allianceCode=04918&mainCC=b","KB국민 기후동행카드 피킹률 | KB국민 기후동행카드 실제 혜택 | KB국민 KB국민 기후동행카드 카드 추천"
"naver-card-10639","LG U+ 사장님 통할인 신한카드","신한","214","0.440","3083","700000","42000","1","1","false","43","P2","estimated_rule | single_tier_high_cap | not_officially_verified","https://www.shinhancard.com/pconts/html/card/apply/credit/1196261_2207.html?empSeq=501","LG U+ 사장님 통할인 신한카드 피킹률 | LG U+ 사장님 통할인 신한카드 실제 혜택 | 신한 LG U+ 사장님 통할인 신한카드 카드 추천"
"naver-card-10035","신한카드 국민행복","신한","215","0.393","2750","300000","300000","1","1","false","63","P1","estimated_rule | single_tier_high_cap | monthly_cap_outlier | not_officially_verified","https://www.shinhancard.com/pconts/html/card/apply/credit/1200235_2207.html?EntryLoc2=3040&empSeq=1&btnApp=DP013G&utm_source=naver_credit&utm_medium=cpc&utm_campaign=online_khappy","신한카드 국민행복 피킹률 | 신한카드 국민행복 실제 혜택 | 신한 신한카드 국민행복 카드 추천"
